main_category,series_name,detail_page_url,gov_stat_code,overview,field_major,field_minor,stat_type,homepage_url,organization_detail,division,email,tel,organization
国土・気象,公共測量実態調査,https://www.e-stat.go.jp/statistics/00600850,600850,公共測量実態調査は、前年度に実施された公共測量等の実態を把握し、各種測量の調整及び測量制度の改善発達のための資料を得ることを目的として、国及び地方公共団体等の公共測量計画機関を対象に行っている調査で、不定期に実施しています。公共測量実施状況、測量法に基づく手続き等状況、新技術の利用状況、国土地理院の公共測量関連サービスの利用状況などを提供しています。,国土・気象,国土,業務統計,,国土交通省,,,,国土交通省
国土・気象,自然公園等利用者数調,https://www.e-stat.go.jp/statistics/00650103,650103,昭和25年から現在までの国立公園、国定公園、都道府県立自然公園の利用者数の調査を実施。自然公園での取組を進める基礎的資料となります。,国土・気象,国土,一般統計,http://www.env.go.jp/park/doc/data/index.html,環境省,自然環境局国立公園課国立公園利用推進室,koen_prize@env.go.jp,03-5521-8271,環境省
人口・世帯,住民基本台帳に基づく人口、人口動態及び世帯数調査,https://www.e-stat.go.jp/statistics/00200241,200241,,人口・世帯,人口,業務統計,,総務省,自治行政局　住民制度課,juki@soumu.go.jp,03-5253-5517,総務省
人口・世帯,国勢調査,https://www.e-stat.go.jp/statistics/00200521,200521,国勢調査は、日本に住んでいるすべての人と世帯を対象とする国の最も重要な統計調査で、５年ごとに実施されます。国勢調査から得られる日本の人口や世帯の実態は、国や地方公共団体の行政において利用されることはもとより、民間企業や研究機関でも広く利用され、そのような利用を通じて国民生活に役立てられています。　国勢調査では、年齢別の人口、家族構成、働いている人や日本に住んでいる外国人などの結果を提供しています。,人口・世帯,人口,基幹統計,https://www.stat.go.jp,総務省,統計局統計調査部国勢統計課,,03-5273-1156,総務省
人口・世帯,住民基本台帳人口移動報告,https://www.e-stat.go.jp/statistics/00200523,200523,住民基本台帳人口移動報告は、住民基本台帳に基づき、月々の人口移動の状況を明らかにするもので、全国、都道府県、21大都市別の転入・転出者数などを提供しています。また、年結果では市区町村別も提供しています。　住民基本台帳人口移動報告の結果は、各種白書や地域人口の動向研究等の基礎資料として利用されています。,人口・世帯,人口移動,業務統計,http://www.stat.go.jp/data/idou/index.htm,総務省,統計局統計調査部国勢統計課,,03-5273-1157,総務省
人口・世帯,人口推計,https://www.e-stat.go.jp/statistics/00200524,200524,人口推計は、国勢調査による人口を基に、その後の各月における出生・死亡、入国・出国などの人口の動きを他の人口関連資料から得ることで、毎月1日現在の男女別、年齢階級別の人口を推計しています。また、毎年10月1日現在の全国各歳別結果及び都道府県別結果も推計しています。　推計結果は、各種白書や国際機関における人口分析、経済分析等の基礎資料として利用されています。,人口・世帯,人口,基幹統計,http://www.stat.go.jp/data/jinsui/index.htm,総務省,統計局統計調査部国勢統計課,,,総務省
人口・世帯,戸籍統計,https://www.e-stat.go.jp/statistics/00250008,250008,戸籍統計は，地方公共団体に届出のあった戸籍の届出件数等を各地方公共団体が集計した上，管轄法務局及び地方法務局に報告したものを集計したものである。,人口・世帯,人口動態,業務統計,http://www.moj.go.jp/TOUKEI/index2.html,法務省,司法法制部,,,法務省
人口・世帯,出入国管理統計,https://www.e-stat.go.jp/statistics/00250011,250011,出入国管理統計は，出入国在留管理庁で取り扱っている事務のうち，地方出入国在留管理局等で取り扱った入国審査，在留資格審査及び退去強制手続等に関する統計報告を集計したものである。,人口・世帯,人口移動,業務統計,https://www.moj.go.jp/isa/policies/statistics/index.html,法務省,出入国在留管理庁,,,法務省
人口・世帯,在留外国人統計(旧登録外国人統計),https://www.e-stat.go.jp/statistics/00250012,250012,在留外国人統計（旧登録外国人統計）は，本邦に在留する外国人について，国籍・地域別，在留資格別及び都道府県別等の在留外国人数及び総在留外国人数を集計したものである。,人口・世帯,人口,業務統計,https://www.moj.go.jp/isa/policies/statistics/index.html,法務省,出入国在留管理庁,,,法務省
人口・世帯,海外在留邦人数調査統計,https://www.e-stat.go.jp/statistics/00300100,300100,本調査統計は、海外在留邦人の実態を把握することを目的としており、海外における邦人の保護や領事政策の立案における重要な基礎資料として利用されています。　海外在留邦人数は、旅券法の定めにより在外公館（日本国大使館・総領事館・領事事務所）に提出されている在留届を基礎資料として利用し、毎年10月1日時点のそれぞれの管轄区域（兼轄国及び属領含む。）内に在留する邦人数を推計したものです。,人口・世帯,人口移動,業務統計,http://www.mofa.go.jp/mofaj/toko/tokei/hojin/index.html,外務省,領事局政策課,kikakuchousa@mofa.go.jp,03-3580-3311,外務省
